CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
12.104.241/0004-02;2026-12-31;2;158602;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;353316;Capital Autorizado;2025-10-08;0.00;N/A;3500000000;0;3500000000
12.108.897/0001-50;2026-12-31;1;158390;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;352762;Capital Emitido;2020-08-06;1035325236.61;;50602842;0;50602842
12.108.897/0001-50;2026-12-31;1;158390;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;352763;Capital Subscrito;2020-08-06;1035325236.61;;50602842;0;50602842
12.108.897/0001-50;2026-12-31;1;158390;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;352764;Capital Integralizado;2020-08-06;1035325236.61;;50602842;0;50602842
12.108.897/0001-50;2026-12-31;1;158390;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;352765;Capital Autorizado;2020-03-03;1000000000.00;;0;0;0
12.181.987/0001-77;2026-12-31;1;158528;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;353120;Capital Emitido;2026-04-29;959029255.41;Integralizado;206269341;0;206269341
12.181.987/0001-77;2026-12-31;1;158528;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;353121;Capital Subscrito;2026-04-29;959029255.41;Integralizado;206269341;0;206269341
12.181.987/0001-77;2026-12-31;1;158528;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;353122;Capital Integralizado;2026-04-29;959029255.41;Integralizado;206269341;0;206269341
12.181.987/0001-77;2026-12-31;1;158528;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;353123;Capital Autorizado;2026-04-29;2000000000.00;Não aplicável;0;0;0
12.420.164/0001-57;2026-12-31;1;158501;CM HOSPITALAR S.A;353057;Capital Emitido;2023-08-01;2549392366.31;N/A;322820608;0;322820608
