CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
09.229.201/0001-30;2026-12-31;1;158630;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;353400;Capital Autorizado;2026-04-10;2750000000.00;;0;0;0
09.288.252/0001-32;2026-12-31;1;158594;ANIMA HOLDING S.A.;353292;Capital Integralizado;2021-02-18;2569624313.76;;403868805;0;403868805
09.288.252/0001-32;2026-12-31;1;158594;ANIMA HOLDING S.A.;353293;Capital Autorizado;2020-11-23;4000000000.00;;0;0;0
09.295.063/0001-97;2026-12-31;1;158357;TECHNOS S.A.;352683;Capital Subscrito;2025-12-10;130583886.69;;60906215;0;60906215
09.295.063/0001-97;2026-12-31;1;158357;TECHNOS S.A.;352684;Capital Integralizado;2025-12-10;130583886.69;;60906215;0;60906215
09.295.063/0001-97;2026-12-31;1;158357;TECHNOS S.A.;352685;Capital Emitido;2014-07-15;130583886.69;;60906215;0;60906215
09.295.063/0001-97;2026-12-31;1;158357;TECHNOS S.A.;352686;Capital Autorizado;2014-07-15;130583886.69;;139093785;0;139093785
09.305.994/0001-29;2026-12-31;1;158427;AZUL S.A.;352858;Capital Emitido;2026-03-25;21756852177.69;;366088586;0;366088586
09.305.994/0001-29;2026-12-31;1;158427;AZUL S.A.;352859;Capital Subscrito;2026-03-25;21756852177.69;;366088586;0;366088586
09.305.994/0001-29;2026-12-31;1;158427;AZUL S.A.;352860;Capital Integralizado;2026-03-25;21756852177.69;;366088586;0;366088586
09.305.994/0001-29;2026-12-31;1;158427;AZUL S.A.;352861;Capital Autorizado;2026-03-25;10630775718.77;;0;0;0
09.313.969/0001-97;2026-12-31;1;157824;AUTOPISTA LITORAL SUL;351557;Capital Emitido;2023-04-28;3893219738.79;N.A;4158155555;0;4158155555
09.313.969/0001-97;2026-12-31;1;157824;AUTOPISTA LITORAL SUL;351558;Capital Subscrito;2023-04-28;3893219738.79;N.A;4158155555;0;4158155555
09.313.969/0001-97;2026-12-31;1;157824;AUTOPISTA LITORAL SUL;351559;Capital Integralizado;2023-04-28;3893219738.79;N.A;4158155555;0;4158155555
09.324.949/0001-11;2026-12-31;1;157878;AUTOPISTA FLUMINENSE SA;351683;Capital Subscrito;2026-02-02;1193310477.57;;854623697;0;854623697
09.324.949/0001-11;2026-12-31;1;157878;AUTOPISTA FLUMINENSE SA;351684;Capital Integralizado;2026-02-02;1193310477.57;;854623697;0;854623697
09.324.949/0001-11;2026-12-31;1;157878;AUTOPISTA FLUMINENSE SA;351685;Capital Autorizado;2026-02-02;1193310447.57;;854623697;0;854623697
09.325.109/0001-73;2026-12-31;1;157872;AUTOPISTA PLANALTO SUL SA;351667;Capital Emitido;2025-04-23;878034052.17;não aplicável;1721076003;0;1721076003
09.325.109/0001-73;2026-12-31;1;157872;AUTOPISTA PLANALTO SUL SA;351668;Capital Subscrito;2025-04-23;878034052.17;Não aplicável;1721076003;0;1721076003
09.325.109/0001-73;2026-12-31;1;157872;AUTOPISTA PLANALTO SUL SA;351669;Capital Integralizado;2025-04-23;878034052.17;;1721076003;0;1721076003
09.336.431/0001-06;2026-12-31;1;157851;AUTOPISTA REGIS BITTENCOURT SA;351620;Capital Emitido;2023-04-28;978785421.84;N/A;747759759;0;747759759
09.336.431/0001-06;2026-12-31;1;157851;AUTOPISTA REGIS BITTENCOURT SA;351621;Capital Subscrito;2023-04-28;978785421.84;N/A;747759759;0;747759759
09.336.431/0001-06;2026-12-31;1;157851;AUTOPISTA REGIS BITTENCOURT SA;351622;Capital Integralizado;2023-04-28;976785421.84;24 meses;747759759;0;747759759
09.346.601/0001-25;2026-12-31;1;155098;B3 S.A. - BRASIL, BOLSA, BALCÃO;347343;Capital Autorizado;2021-05-10;0.00;N/A;7500000000;0;7500000000
09.346.601/0001-25;2026-12-31;1;155098;B3 S.A. - BRASIL, BOLSA, BALCÃO;347344;Capital Subscrito;2026-02-26;12898655563.88;N/A;5046500000;0;5046500000
09.346.601/0001-25;2026-12-31;1;155098;B3 S.A. - BRASIL, BOLSA, BALCÃO;347345;Capital Integralizado;2026-02-26;12898655563.88;N/A;5046500000;0;5046500000
09.346.601/0001-25;2026-12-31;1;155098;B3 S.A. - BRASIL, BOLSA, BALCÃO;347346;Capital Emitido;2026-02-26;12898655563.88;N/A;5046500000;0;5046500000
09.346.601/0001-25;2026-12-31;1;158176;B3 S.A. - BRASIL, BOLSA, BALCÃO;352272;Capital Autorizado;2021-05-10;0.00;N/A;7500000000;0;7500000000
09.346.601/0001-25;2026-12-31;1;158176;B3 S.A. - BRASIL, BOLSA, BALCÃO;352273;Capital Subscrito;2026-02-26;12898655563.88;N/A;5046500000;0;5046500000
09.346.601/0001-25;2026-12-31;1;158176;B3 S.A. - BRASIL, BOLSA, BALCÃO;352274;Capital Integralizado;2026-02-26;12898655563.88;N/A;5046500000;0;5046500000
09.346.601/0001-25;2026-12-31;1;158176;B3 S.A. - BRASIL, BOLSA, BALCÃO;352275;Capital Emitido;2026-02-26;12898655563.88;N/A;5046500000;0;5046500000
09.391.823/0001-60;2026-12-31;1;158166;SANTO ANTONIO ENERGIA S.A.;352246;Capital Emitido;2024-12-18;15716969251.40;Chamada de redução capital;1801134793836;0;1801134793836
09.391.823/0001-60;2026-12-31;1;158166;SANTO ANTONIO ENERGIA S.A.;352247;Capital Subscrito;2024-12-18;15716969251.40;Chamada de redução de capital;1801134793836;0;1801134793836
